Patient_ID,UBE2T,BIRC5,NUF2,CDC6,CCNB1,TYMS,MYBL2,CEP55,MELK,NDC80,RRM2,UBE2C,CENPF,PTTG1,EXO1,ORC6,ANLN,CCNE1,CDC20,MKI67,KIF2C,ACTR3B,MYC,EGFR,KRT5,PHGDH,CDH3,MIA,KRT17,FOXC1,SFRP1,KRT14,ESR1,SLC39A6,BAG1,MAPT,PGR,CXXC5,MLPH,BCL2,MDM2,NAT1,FOXA1,BLVRA,MMP11,GPR160,FGFR4,GRB7,TMEM45B,ERBB2
X11BR011,0.003,0.136,0.621,1.112,-0.14,-0.364,0.056,-0.181,-0.024,-0.364,0.0,0.056,0.285,0.032,0.133,-0.057,0.043,-0.087,-0.28,-0.075,-0.28,0.043,2.179,0.043,0.041,-0.211,-0.326,-0.047,-0.006,0.007,-0.365,-0.006,0.017,-0.364,-0.024,0.017,-0.319,0.032,0.099,-0.364,0.041,-0.365,-0.156,0.043,-0.317,-0.006,0.032,3.657,-0.258,3.657
X11BR014,0.668,-0.026,0.668,-0.061,0.024,0.22,0.007,-0.019,0.025,0.22,0.0,0.007,0.668,0.024,0.668,-0.424,0.094,-0.079,-0.017,-0.019,-0.017,0.149,0.152,0.094,0.045,0.071,-0.424,-0.061,-0.061,-0.044,0.152,-0.061,-0.008,0.22,0.025,-0.061,0.016,0.024,-0.004,0.22,-0.018,0.152,-0.008,0.094,-0.012,0.015,0.024,-0.061,0.024,-0.061
X11BR018,0.013,-0.258,0.013,-0.292,-0.057,-0.066,0.035,-0.032,0.046,-0.066,-0.001,0.035,0.013,0.018,-0.075,-0.312,-0.008,-0.001,0.028,-0.032,0.028,0.091,0.02,-0.008,0.021,-0.125,-0.337,0.039,-0.292,-0.021,0.02,-0.292,-0.001,-0.066,0.046,-0.292,0.075,0.018,-0.003,-0.066,0.021,-0.276,0.027,-0.008,0.038,0.048,0.018,-0.292,0.075,-0.292
X11BR019,0.333,1.224,0.333,-0.417,0.02,-0.151,-0.179,0.003,-0.048,-0.151,-0.026,-0.047,0.139,0.02,0.139,-0.162,-0.073,-0.318,-0.01,0.003,-0.01,0.075,0.022,-0.073,-0.022,0.046,-0.162,1.748,-0.417,-0.023,-0.371,-0.417,0.015,-0.265,-0.048,-0.417,-0.25,0.02,0.068,-0.265,-0.022,-0.421,-0.018,-0.073,-0.401,0.059,-0.072,1.285,-0.179,1.285
X11BR020,0.155,0.28,0.009,0.04,-0.372,-0.327,0.507,-0.204,-0.2,-0.327,0.033,0.507,0.155,0.052,0.015,-0.124,0.066,-0.272,0.0,-0.204,0.0,0.121,0.855,0.066,0.236,-0.071,-0.124,-0.272,0.04,0.046,0.225,0.04,0.099,-0.327,-0.2,0.04,0.0,0.052,0.046,-0.327,0.236,-0.376,-0.039,0.066,-0.091,0.074,0.052,0.04,-0.25,0.04
X11BR022,0.599,0.108,0.512,0.108,0.076,-0.167,0.142,0.079,-0.14,-0.167,-0.01,0.142,0.599,0.076,0.599,-0.197,0.045,-0.011,-0.162,0.079,-0.028,-0.059,-0.026,0.045,0.113,0.089,-0.176,-0.017,0.108,-0.085,-0.068,0.108,-0.099,-0.167,-0.14,0.108,0.025,0.076,-0.004,-0.169,0.113,-0.068,-0.081,0.045,-0.112,0.116,0.076,0.108,0.025,0.108
X11BR025,0.949,0.953,0.949,0.953,1.108,0.957,0.78,-0.161,0.172,0.957,-0.077,0.78,0.949,1.108,0.949,-0.569,-0.152,-0.199,0.097,-0.161,0.097,-0.049,3.081,-0.152,0.581,-0.061,-0.624,-0.155,0.953,0.123,1.173,0.953,0.173,0.957,0.172,0.953,-0.091,1.108,0.022,0.946,0.546,0.979,-0.325,-0.152,0.291,0.344,1.108,0.953,-0.091,0.953
X11BR027,0.014,-0.048,0.094,-0.122,0.051,-0.045,0.017,0.022,-0.298,-0.045,-0.032,0.017,0.014,0.051,0.014,-0.692,-0.006,-0.174,-0.072,0.022,-0.072,0.148,0.081,-0.006,0.016,-0.085,-0.752,-0.153,-0.122,-0.001,-0.001,-0.122,-0.806,-0.038,0.034,-0.122,-0.634,0.051,0.0,-0.038,0.016,-0.674,-0.006,-0.006,0.073,0.081,0.069,-0.122,-0.739,-0.122
X11BR031,0.336,-0.387,0.336,0.539,0.001,-0.689,0.932,-0.037,0.207,-0.689,-0.131,0.932,0.336,0.001,0.336,-0.029,-0.217,-0.355,0.029,0.053,0.0,0.296,0.204,-0.254,0.696,-0.001,-0.003,-0.399,-0.388,-0.018,-0.478,-0.388,0.075,-0.057,0.207,-0.395,0.029,0.001,-0.096,-0.057,1.274,-0.478,0.017,-0.217,-0.108,0.334,0.001,0.539,0.029,0.539
X11BR032,0.39,-0.314,0.42,-0.299,0.036,-0.34,0.042,-0.28,0.066,-0.34,0.028,0.042,0.328,0.369,0.211,-0.025,0.006,-0.053,0.045,-0.28,0.045,0.158,0.0,0.006,0.023,-0.003,-0.026,-0.043,-0.299,-0.284,0.013,-0.299,-0.283,-0.34,0.066,-0.319,-0.241,0.036,-0.285,-0.295,0.023,0.066,-0.003,0.006,-0.238,0.069,0.369,-0.299,-0.241,-0.299
X11BR040,0.658,-0.114,0.658,-0.122,0.019,-0.252,-0.024,-0.038,-0.02,-0.252,0.002,-0.024,0.631,0.003,0.304,-0.559,-0.012,-0.145,-0.011,-0.038,-0.011,0.077,0.099,-0.012,0.05,-0.011,-0.626,0.008,-0.122,-0.165,-0.017,-0.122,0.045,-0.078,-0.02,-0.122,0.037,0.003,0.002,-0.078,-0.032,-0.017,-0.047,-0.012,0.025,0.04,0.003,-0.122,0.037,-0.122
X11BR043,0.874,0.738,0.742,-0.118,0.046,0.221,0.302,-0.041,0.207,0.221,-0.088,0.302,0.874,0.163,0.874,-0.405,0.123,0.124,-0.378,0.301,-0.378,-0.195,1.65,0.123,0.341,-0.001,-0.405,-0.088,-0.118,0.256,-0.389,-0.118,-0.467,0.567,-0.401,-0.118,-0.433,0.135,0.176,-0.386,0.457,-0.389,1.002,0.123,-0.472,0.365,0.163,-0.118,-0.433,-0.118
X11BR044,0.776,0.242,0.776,0.242,0.38,0.235,0.657,0.288,0.253,0.235,-0.044,0.657,0.776,0.117,0.44,-0.472,0.048,-0.348,-0.407,0.32,-0.407,-0.285,3.329,-0.346,0.352,0.549,-0.474,-0.107,0.242,-0.104,2.633,0.242,-0.112,0.235,-0.412,0.242,-0.182,0.117,-0.107,0.235,0.338,-0.379,-0.425,-0.346,-0.366,0.183,0.117,0.242,-0.221,0.242
X11BR047,-0.029,-0.009,0.036,-0.1,0.042,0.279,-0.008,0.007,-0.018,0.279,-0.015,0.035,-0.009,-0.027,-0.045,1.816,-0.031,-0.128,-0.014,0.213,-0.014,0.119,0.254,-0.031,0.0,-0.145,-0.561,-0.058,-0.1,0.025,0.2,-0.1,-0.465,-0.066,-0.018,-0.1,-0.448,-0.027,0.027,-0.066,0.0,-0.319,-0.012,-0.031,-0.524,0.04,-0.027,-0.1,-0.426,-0.1
X11BR049,0.415,-0.1,0.595,-0.1,0.014,-0.1,0.183,-0.019,-0.012,-0.1,-0.04,0.183,0.817,0.014,0.491,0.164,-0.003,-0.192,-0.045,-0.019,-0.045,0.097,0.419,-0.003,0.385,0.127,-0.13,-0.077,-0.1,0.072,0.028,-0.1,-0.426,-0.075,-0.012,-0.1,0.058,0.014,0.007,-0.075,0.385,-0.403,0.0,-0.003,-0.447,0.018,0.014,-0.1,0.014,-0.1
X11BR050,0.263,-0.043,0.263,-0.043,-0.026,-0.073,0.01,-0.033,-0.012,-0.073,-0.01,0.01,0.263,0.025,0.263,0.031,-0.032,-0.059,0.027,-0.033,0.027,0.11,0.029,-0.032,0.02,0.263,0.031,0.056,-0.043,0.0,0.029,-0.043,-0.014,-0.073,0.053,-0.043,0.066,0.025,0.001,-0.073,0.02,0.029,-0.028,-0.032,0.025,-0.026,0.025,-0.043,0.066,-0.043
X11BR051,0.175,0.236,0.111,-0.137,0.029,0.167,0.201,0.031,-0.258,0.167,-0.324,0.201,0.175,0.076,0.155,-0.444,0.38,0.082,-0.195,0.031,-0.195,0.467,0.687,0.165,-0.042,-0.167,-0.465,0.097,-0.137,0.015,0.533,-0.137,-0.065,-0.511,-0.258,0.236,-0.468,0.076,-0.205,-0.467,0.105,0.581,0.095,0.38,-0.447,0.201,0.076,-0.505,-0.475,-0.505
X11BR053,0.78,0.225,0.942,0.31,-0.073,-0.194,1.299,-0.534,0.02,-0.194,-0.328,1.299,0.78,0.293,0.339,1.425,0.523,-0.869,-0.307,-0.446,-0.152,0.259,1.499,0.392,0.035,-0.152,-0.212,-0.665,0.31,-0.555,1.013,0.31,0.462,0.126,0.02,0.31,0.038,0.382,0.003,0.25,0.035,0.154,0.565,0.523,0.036,0.0,0.293,0.31,-0.067,0.31
X11BR054,-0.035,-0.025,-0.065,-0.025,0.011,0.036,0.006,-0.048,-0.028,0.036,-0.026,0.006,-0.035,-0.026,-0.038,-0.063,0.043,-0.028,-0.028,0.149,-0.028,-0.029,0.031,-0.073,0.011,0.001,-0.063,-0.007,-0.025,0.025,0.031,-0.025,-0.015,-0.064,-0.028,-0.025,0.006,-0.057,-0.003,-0.03,0.011,0.031,0.0,0.043,-0.053,0.02,-0.026,-0.025,-0.019,-0.025
X11BR055,1.617,0.243,0.57,0.164,0.342,-0.059,0.292,-0.321,-0.308,-0.059,-0.05,0.292,1.727,0.318,1.7,0.121,0.673,-0.145,-0.289,-0.033,-0.289,0.17,-0.035,-0.009,0.15,-0.198,0.121,-0.145,0.164,0.503,-0.039,0.164,0.011,-0.059,-0.274,0.164,-0.479,0.318,-0.016,-0.032,0.15,-0.039,0.308,0.673,-0.235,0.109,0.318,0.164,-0.479,0.164
X11BR072,0.542,-0.104,0.542,-0.104,0.0,-0.087,-0.008,-0.056,-0.097,-0.087,-0.03,-0.008,0.542,0.0,0.387,-0.162,-0.059,-0.122,0.006,-0.056,0.006,0.051,0.013,-0.059,0.013,-0.055,-0.255,-0.122,-0.104,0.455,0.013,-0.104,0.389,-0.087,0.065,-0.104,0.068,0.0,0.023,-0.087,0.013,0.013,-0.018,-0.059,-0.498,0.405,0.0,-0.104,0.068,-0.104
